,product_image,product_ram,product_condition,product_cost,product_name,product_storage,product_color,original_cost
301,https://rukminim1.flixcart.com/image/612/612/jpr86fk0/mobile-refurbished/z/f/z/7-16-d-plk-ul00-honor-3-original-imafbxbnewf7xsvx.jpeg?q=70,3 GB RAM,Refurbished - Okay,₹ 4599.00,Honor 7,16 GB,Fantasy Silver,25960
302,https://rukminim1.flixcart.com/image/612/612/jpr86fk0/mobile-refurbished/h/5/t/7x-64-d-bnd-al10-honor-4-original-imafbxghkuym7jkx.jpeg?q=70,4 GB RAM,Refurbished - Okay,₹ 6999.00,Honor 7X,64 GB,Black,21240
304,https://rukminim1.flixcart.com/image/612/612/jjolt3k0/mobile-refurbished/u/e/a/galaxy-j5-prime-32-u-sm-g570fzkgins-samsung-3-original-imaf6mdtaxksvw7e.jpeg?q=70,3 GB RAM,Refurbished - Good,₹ 5999.00,SAMSUNG Galaxy J7 Prime,32 GB,Black,17850
305,https://rukminim1.flixcart.com/image/612/612/jovshow0/mobile/c/j/f/oppo-a3s-cph1803-original-imaf9f37bvpypwdg.jpeg?q=70,3 GB RAM,Refurbished - Good,₹ 6088.00,OPPO A3s,32 GB,Purple,11000
306,https://rukminim1.flixcart.com/image/612/612/jyoq93k0/mobile/m/a/g/motorola-moto-x4-xt1900-2-original-imaf6nhazrgpqvxk.jpeg?q=70,6 GB RAM,Refurbished - Okay,₹ 17699.00,Moto X4,64 GB,Super Black,18400
307,https://rukminim1.flixcart.com/image/612/612/jtn9bww0/mobile-refurbished/h/9/y/redmi-note-7-64-a-na-mi-6-original-imafeyb9ufhrjav7.jpeg?q=70,4 GB RAM,Refurbished - Good,₹ 8299.00,Redmi Note 7,64 GB,Ruby Red,11200
308,https://rukminim1.flixcart.com/image/612/612/jsaocy80/mobile-refurbished/f/x/z/redmi-4a-16-d-redmi-4a-redmi-2-original-imaf6juwskhwjcpm.jpeg?q=70,3 GB RAM,Refurbished - Superb,₹ 4799.00,Redmi 4A,32 GB,Gold,10890
312,https://rukminim1.flixcart.com/image/612/612/k0lbdzk0pkrrdj/mobile/g/y/h/samsung-galaxy-a50-sm-a505fzkgins-original-imafhgdhuabtqxhj.jpeg?q=70,6 GB RAM,Refurbished - Good,₹ 18999.00,SAMSUNG Galaxy A50,64 GB,Black,21757
313,https://rukminim1.flixcart.com/image/612/612/jt7jhjk0/mobile-refurbished/k/p/9/7-1-64-c-ta-1097-nokia-4-original-imafem2bdmvazcdk.jpeg?q=70,4 GB RAM,Refurbished - Good,₹ 7889.00,Nokia 7.1,64 GB,Gloss Midnight Blue,15932
314,https://rukminim1.flixcart.com/image/612/612/k2tc1ow0pkrrdj/mobile-refurbished/9/k/q/redmi-note-6-pro-32-c-mzb6883in-mi-3-original-imafbydpnubw7gmj.jpeg?q=70,6 GB RAM,Refurbished - Okay,₹ 17999.00,Redmi Note 6 Pro,64 GB,Blue,19800
315,https://rukminim1.flixcart.com/image/612/612/jyxaw7k0/mobile/f/a/v/nokia-5-na-original-imafar6a6kba26mn.jpeg?q=70,2 GB RAM,Refurbished - Good,₹ 6599.00,Nokia 5,16 GB,Silver,10000
317,https://rukminim1.flixcart.com/image/612/612/jjolt3k0/mobile-refurbished/z/q/x/galaxy-on7-8-u-sm-g600fzddins-sm-g600fzkdins-samsung-1-5-original-imaf6mexxwhkecju.jpeg?q=70,1.5 GB RAM,Refurbished - Good,₹ 3799.00,SAMSUNG Galaxy On5,8 GB,Black,11900
